id,source_file,source_line,tag,source_control,desktop,mobile,keyboard,validation,wallet_disconnected,wallet_connected,account_network_change,evidence,issue,overall
R001,apps/web/app/error.tsx,22,button,"<button type=""button"" onClick={reset}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R002,apps/web/app/error.tsx,25,Link,"<Link href=""/wiki"" className=""ctaLink secondaryLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R003,apps/web/app/layout.tsx,26,a,"<a className=""skipLink"" href=""#page-content"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R004,apps/web/app/layout.tsx,32,Link,"<Link href=""/wiki"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R005,apps/web/app/layout.tsx,32,Link,"<Link href=""/wiki/storage"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R006,apps/web/app/mint/error.tsx,25,button,"<button type=""button"" onClick={reset}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R007,apps/web/app/mint/error.tsx,28,Link,"<Link href=""/wiki/storage"" className=""ctaLink secondaryLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R008,apps/web/app/mint/error.tsx,31,Link,"<Link href=""/wiki"" className=""ctaLink secondaryLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R009,apps/web/app/page.tsx,14,Link,"<Link className=""ctaLink"" href=""/mint"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R010,apps/web/app/page.tsx,14,Link,"<Link className=""ctaLink secondary"" href=""/discover"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R011,apps/web/app/page.tsx,31,Link,"<Link href=""/profile/setup"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R012,apps/web/app/page.tsx,31,Link,"<Link href=""/profile/import"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R013,apps/web/app/page.tsx,34,Link,"<Link href=""/marketplace"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R014,apps/web/app/page.tsx,35,Link,"<Link href=""/wiki/creator-walkthrough"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R015,apps/web/app/profile/[name]/error.tsx,34,button,"<button type=""button"" onClick={reset}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R016,apps/web/app/profile/[name]/error.tsx,37,Link,"<Link href=""/discover"" className=""ctaLink secondaryLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R017,apps/web/app/profile/[name]/error.tsx,40,Link,"<Link href=""/wiki"" className=""ctaLink secondaryLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R018,apps/web/app/profile/listings/page.tsx,5,Link,"<Link href=""/profile"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R019,apps/web/app/profile/page.tsx,8,Link,"<Link href=""/mint"" className=""ctaLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R020,apps/web/app/profile/page.tsx,8,Link,"<Link href=""/profile/setup"" className=""ctaLink secondary"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R021,apps/web/app/wiki/[slug]/page.tsx,30,Link,"<Link href=""/wiki"" className=""wikiBackLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R022,apps/web/components/AsyncButton.tsx,25,button,<button type={type} onClick={onClick} disabled={disabled || loading} className={className}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R023,apps/web/components/HeaderWalletButton.tsx,14,button,<button className={`headerWalletButton ${address ? 'walletConnected' : ''}`} disabled={isPending} onClick={()=>{setError('');dialog.current?.showModal();}} aria-label={address ? 'Open wallet account' : 'Connect wallet'}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R024,apps/web/components/HeaderWalletButton.tsx,14,button,"<button className=""secondary"" aria-label=""Close wallet dialog"" onClick={()=>dialog.current?.close()}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R025,apps/web/components/HeaderWalletButton.tsx,14,button,"<button key={connector.uid} disabled={isPending} onClick={async()=>{setError('');try {await prepareWalletConnection(connector,()=>dialog.current?.close());await connectAsync({connector});dialog.current?.close();}catch(error){setError(walletConnectionError(error));if(!dialog.current?.open)dialog.current?.showModal();}}}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R026,apps/web/components/HeaderWalletButton.tsx,14,button,<button onClick={async()=>{try{await switchChainAsync({chainId:target});}catch{setError('Network switch was not completed.');}}}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R027,apps/web/components/HeaderWalletButton.tsx,14,button,"<button disabled={busy || !wallet} onClick={async()=>{if(!wallet)return;setBusy(true);try{await ensureWalletSession(address,args=>wallet.signMessage(args));setError('Signed in. You can now save changes.');}catch{setError('Sign-in was not completed.');}finally{setBusy(false);}}}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R028,apps/web/components/HeaderWalletButton.tsx,14,button,"<button className=""secondary"" onClick={()=>{void fetch('/api/auth',{method:'DELETE'});disconnect();dialog.current?.close();}}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R029,apps/web/components/ListingSummaryRow.tsx,67,a,"<a href={toExplorerAddress(item.nft, effectiveChainId)!} target=""_blank"" rel=""noreferrer"" className=""mono"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R030,apps/web/components/ListingSummaryRow.tsx,75,a,"<a href={toExplorerAddress(item.seller, effectiveChainId)!} target=""_blank"" rel=""noreferrer"" className=""mono"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R031,apps/web/components/SiteNavigation.tsx,11,Link,"<Link className=""brandLink"" href=""/"" aria-label=""NFTFactory home"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R032,apps/web/components/SiteNavigation.tsx,11,Link,<Link key={url} href={url} aria-current={pathname.startsWith(url) ? 'page' : undefined}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R033,apps/web/components/SiteNavigation.tsx,11,summary,<summary>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R034,apps/web/components/SiteNavigation.tsx,11,Link,<Link key={url} href={url}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R035,apps/web/components/SiteNavigation.tsx,11,Link,"<Link href=""/wiki"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R036,apps/web/components/artwork/ArtworkCard.tsx,11,Link,"<Link className=""artworkCardImage"" href={nftPath(item.collection.chainId,item.collection.contractAddress,item.tokenId)} aria-label={`View ${title}`}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R037,apps/web/components/artwork/ArtworkCard.tsx,11,Link,"<Link href={nftPath(item.collection.chainId,item.collection.contractAddress,item.tokenId)}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R038,apps/web/components/artwork/ArtworkCard.tsx,11,Link,"<Link className=""hint"" href={collectionPath(item.collection.chainId,item.collection.contractAddress)}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R039,apps/web/components/artwork/ArtworkTags.tsx,11,input,<input value={query} onChange={e=>setQuery(e.target.value)}/>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R040,apps/web/components/artwork/ArtworkTags.tsx,11,summary,<summary>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
