id,historical_source_file,historical_line,tag,source_control,desktop,mobile,keyboard,validation,wallet_disconnected,wallet_connected,account_network_change,evidence,issue,overall
C001,apps/web/app/error.tsx,22,button,"<button type=""button"" onClick={reset}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C002,apps/web/app/error.tsx,25,Link,"<Link href=""/wiki/infrastructure-and-operations"" className=""ctaLink secondaryLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C003,apps/web/app/layout.tsx,22,a,"<a className=""skipLink"" href=""#page-content"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C004,apps/web/app/layout.tsx,28,Link,"<Link href=""/wiki"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C005,apps/web/app/layout.tsx,28,Link,"<Link href=""/wiki/acer-ipfs-integration"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C006,apps/web/app/mint/error.tsx,25,button,"<button type=""button"" onClick={reset}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C007,apps/web/app/mint/error.tsx,28,Link,"<Link href=""/wiki/ipfs-upload-failure-triage"" className=""ctaLink secondaryLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C008,apps/web/app/mint/error.tsx,31,Link,"<Link href=""/wiki/infrastructure-and-operations"" className=""ctaLink secondaryLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C009,apps/web/app/page.tsx,4,Link,"<Link className=""ctaLink"" href=""/mint"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C010,apps/web/app/page.tsx,4,Link,"<Link className=""ctaLink secondary"" href=""/discover"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C011,apps/web/app/page.tsx,6,Link,"<Link href=""/profile/setup"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C012,apps/web/app/profile/[name]/error.tsx,34,button,"<button type=""button"" onClick={reset}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
